category,brand,name,shade,size,purchase_date,planned,price,retailer,online,face_area
Glitter,Stila,Written in the Stars Glitter & Glow Liquid Eyeshadow Set,,Set,9/26/2017,FALSE,25.00,Sephora,TRUE,Eye
Glitter Glue,NYX,Glitter Primer,,Full,10/12/2017,FALSE,6.00,Ulta,FALSE,Eye
Highlighter,Kaja,Mochi Glow Bouncy,01 Toy Alien,Full,10/26/2018,FALSE,19.00,Sephora,TRUE,Cheek
Highlighter,NARS,Highlightin Powder,Fort De France,Full,8/24/2018,TRUE,38.00,Sephora,TRUE,Cheek
Highlighter,Rituel de Fille,Rare light luminizer,Ghost light,Full,10/12/2017,FALSE,30.00,Lady Pickerings,FALSE,Cheek
Highlighter,BECCA,Shimmering Skin Perfector Pressed,Moonstone,Mini,8/16/2019,TRUE,15.40,Beautylish,TRUE,Cheek
Lip Balm,Dior,Dior Addict Lip Glow Color Reviver Balm,Magenta,Full,2/20/2018,TRUE,34.00,Sephora,FALSE,Lip
Lip Balm,Laneige,Lip Glowy Balm,Berry,Full,4/26/2019,TRUE,15.00,Sephora,TRUE,Lip
Lip Balm,Nivea,Lip Balm,Blackberry Shine,Full,1/2/2020,FALSE,7.00,Amazon,TRUE,Lip
Lip Stain,YSL,Water Stain Lip Stain,614 Rose Immerge,Full,8/21/2020,FALSE,38.00,Sephora,TRUE,Lip
Lip Tint,A'Pieu,Water Light Tint,CR02,Full,2/21/2019,FALSE,5.05,RoseRoseShop,TRUE,Lip
Lip Tint,Labiotte,Chateau Labiotte Wine Lip Tint,RD02 Nebbiolo Red,Full,4/20/2020,FALSE,8.89,Yesstyle,TRUE,Lip
Lipgloss,Fenty Beauty,Gloss Bomb Universal,Fenty Glow,Full,8/11/2018,FALSE,18.00,Sephora,FALSE,Lip
Lipgloss,Fenty Beauty,Gloss Bomb Universal,FU$$Y,Full,12/18/2019,TRUE,18.00,Sephora,TRUE,Lip
Lipgloss,Anastasia Beverly Hills,Lip Gloss,Kristen,Full,11/29/2018,TRUE,16.00,Sephora,TRUE,Lip
Lipstick,Givenchy,Le Rouge,307 Grenat Initie,Full,10/26/2018,FALSE,40.00,Sephora,TRUE,Lip
Lipstick,Glossier,Generation G,Jam,Full,11/27/2020,FALSE,18.00,Glossier,TRUE,Lip
Lipstick,Lisa Eldridge,Insanely Saturated Lip Colour,Skyscraper Rose,Full,5/28/2020,FALSE,33.17,Lisa Eldridge,TRUE,Lip
Lipstick,Bobbi Brown,Crushed Liquid Lipstick,Bitter Sweet,Full,11/1/2019,TRUE,27.00,Sephora,TRUE,Lip
Lipstick,Guerlain,Rouge G Customizable Lipstick Case,French Mademoiselle,Full,4/13/2018,TRUE,14.88,Sephora,TRUE,Lip
Lipstick,Guerlain,Rouge G Customizable Lipstick,No 2 light beige,Full,4/13/2018,TRUE,27.20,Sephora,TRUE,Lip
Lipstick,Givenchy,Le Rouge,210,Full,2/3/2017,FALSE,36.00,Sephora,FALSE,Lip
Lipstick,Pat McGrath,MatteTrance Lipstick,1995,Full,11/10/2017,FALSE,38.00,Sephora,TRUE,Lip
Lipstick,Tom Ford,Lip Color,True Coral,Full,5/9/2017,FALSE,53.00,Sephora,TRUE,Lip
Mascara,Lancome,Monsieur Big Waterproof,black,d/s,8/24/2018,FALSE,12.00,Sephora,TRUE,Eye
Mascara,Lancome,Monsieur Big Waterproof,black,d/s,10/26/2018,FALSE,12.00,Sephora,TRUE,Eye
Mascara,Charlotte Tilbury,Legendary Lashes,Black,d/s,2/3/2017,FALSE,14.57,Nordstrom,FALSE,Eye
Mascara,Maybelline,Lash Sensational,Black (Waterproof),Full,4/1/2018,TRUE,9.00,Rite Aid,FALSE,Eye
Mascara,Isehan,Long and Curl Mascara Super Waterproof,1,Full,3/26/2019,TRUE,14.14,Amazon,TRUE,Eye
Mascara,Chanel,Le Volume Waterprood,Noir,Full,6/29/2018,TRUE,32.00,Nordstrom,TRUE,Eye
Mascara,Benefit,They're Real Lash Primer,Brown,Full,6/2/2017,FALSE,24.00,Sephora,FALSE,Eye
Mascara,Isehan,Kiss Me Heroine Make Long and Curl Mascara,Black,Full,1/14/2017,FALSE,16.94,Amazon,TRUE,Eye
Mascara,Lancome,Monsieur Big Waterproof Mascara,black,Mini,12/13/2019,FALSE,12.00,Sephora,FALSE,Eye
Mascara,Milk Makeup,Kush Waterproof,Aces (black),Mini,6/8/2019,TRUE,12.00,Sephora,FALSE,Eye
Mascara,Lancome,Monsieur Big Waterproof Mascara,black,Mini,8/21/2019,TRUE,12.00,Sephora,TRUE,Eye
Mascara,Isehan,Kiss Me Heroine Make Volume & Curl Mascara Super Waterproof,Black,Full,4/11/2020,TRUE,12.13,Yesstyle,TRUE,Eye
Mascara,Isehan,Kiss Me Heroine Make Volume & Curl Mascara Super Waterproof,Black,Full,10/15/2020,TRUE,11.76,Yesstyle,TRUE,Eye
Powder,YSL,Poudre Compact Radiance Perfection Universelle,,Full,6/29/2018,FALSE,48.00,Nordstrom,TRUE,Base
Powder,La Mer,Sheer Pressed Powder,Translucent,Full,8/24/2018,TRUE,95.00,Sephora,TRUE,Base
Primer,Charlotte Tilbury,Hollywood Flawless Filter,1 Fair,Full,12/5/2019,TRUE,44.00,Sephora,TRUE,Base
Primer,BECCA,Backlight Filter Face Primer,,Mini,11/30/2017,FALSE,18.00,Sephora,TRUE,Base
Primer,MUFE,Step 1 Skin Equalizer Primer,,Mini,11/30/2017,FALSE,17.00,Sephora,TRUE,Base
Primer,Dr Jart+,Cicapair Tiger Grass Color Correcting Treatment SPF30,,Travel,9/14/2017,FALSE,18.00,Sephora,FALSE,Base
Setting Spray,Skindinavia,The Makeup Finishing Spray,,8 oz,10/1/2019,TRUE,29.25,Skindinavia,TRUE,Base
Setting Spray,Urban Decay,All-Nighter,,Full,1/20/2018,TRUE,32.00,Sephora,FALSE,Base
Setting Spray,Urban Decay,All-Nighter,,Mini,7/10/2019,TRUE,15.00,Ulta,FALSE,Base
Setting spray,Urban Decay,All Nighter,,Travel,10/6/2017,FALSE,15.00,Sephora,FALSE,Base
Setting Spray,Kat Von D,Lock-It Makeup Setting Mist,,Travel,4/19/2017,FALSE,14.00,Sephora,TRUE,Base
Tinted Moisturizer,Charlotte Tilbury,Light Wonder,Fair 1,Full,3/27/2018,TRUE,46.00,Beautylish,TRUE,Base
Tinted Moisturizer,tarte,Maracuja Hydrating Tinted Moisturizer,N13,Full,8/21/2020,TRUE,29.00,Sephora,TRUE,Base
Tinted Moisturizer,tarte,Maracuja Hydrating Tinted Moisturizer,N13,Mini,5/29/2020,TRUE,15.00,Sephora,TRUE,Base
Tinted Moisturizer,Laura Mercier,Tinted Moisturizer,Pearl,Mini,5/7/2020,TRUE,24.00,Sephora,TRUE,Base
